Model: Dlib_cosine_ssd_align_False_35, Target: tak, Image Count: 10
Model: OpenFace_cosine_dlib_align_False_0, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_dlib_align_False_0, Target: park, Image Count: 0
Model: OpenFace_cosine_dlib_align_False_0, Target: you, Image Count: 0
Model: OpenFace_cosine_dlib_align_False_0, Target: tak, Image Count: 0
Model: DeepFace_euclidean_l2_retinaface_align_False_12, Target: deffcon, Image Count: 5
Model: DeepFace_euclidean_l2_retinaface_align_False_12, Target: park, Image Count: 7
Model: DeepFace_euclidean_l2_retinaface_align_False_12, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_retinaface_align_False_12, Target: tak, Image Count: 0
Model: ArcFace_euclidean_retinaface_align_True_24, Target: deffcon, Image Count: 1
Model: ArcFace_euclidean_retinaface_align_True_24, Target: park, Image Count: 7
Model: ArcFace_euclidean_retinaface_align_True_24, Target: you, Image Count: 14
Model: ArcFace_euclidean_retinaface_align_True_24, Target: tak, Image Count: 2
Model: OpenFace_euclidean_dlib_align_True_6, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_dlib_align_True_6, Target: park, Image Count: 4
Model: OpenFace_euclidean_dlib_align_True_6, Target: you, Image Count: 2
Model: OpenFace_euclidean_dlib_align_True_6, Target: tak, Image Count: 0
Model: DeepID_cosine_opencv_align_True_1, Target: deffcon, Image Count: 0
Model: DeepID_cosine_opencv_align_True_1, Target: park, Image Count: 0
Model: DeepID_cosine_opencv_align_True_1, Target: you, Image Count: 0
Model: DeepID_cosine_opencv_align_True_1, Target: tak, Image Count: 1
Model: OpenFace_euclidean_l2_opencv_align_True_20, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_True_20, Target: park, Image Count: 11
Model: OpenFace_euclidean_l2_opencv_align_True_20, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_True_20, Target: tak, Image Count: 9
Model: ArcFace_euclidean_mtcnn_align_True_26, Target: deffcon, Image Count: 1
Model: ArcFace_euclidean_mtcnn_align_True_26, Target: park, Image Count: 9
Model: ArcFace_euclidean_mtcnn_align_True_26, Target: you, Image Count: 15
Model: ArcFace_euclidean_mtcnn_align_True_26, Target: tak, Image Count: 1
Model: DeepID_euclidean_l2_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_l2_mediapipe_align_False_0, Target: park, Image Count: 0
Model: DeepID_euclidean_l2_mediapipe_align_False_0, Target: you, Image Count: 0
Model: DeepID_euclidean_l2_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_mtcnn_align_True_53, Target: deffcon, Image Count: 5
Model: VGG-Face_euclidean_mtcnn_align_True_53, Target: park, Image Count: 15
Model: VGG-Face_euclidean_mtcnn_align_True_53, Target: you, Image Count: 18
Model: VGG-Face_euclidean_mtcnn_align_True_53, Target: tak, Image Count: 15
Model: DeepFace_euclidean_dlib_align_False_1, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_dlib_align_False_1, Target: park, Image Count: 1
Model: DeepFace_euclidean_dlib_align_False_1, Target: you, Image Count: 0
Model: DeepFace_euclidean_dlib_align_False_1, Target: tak, Image Count: 0
Model: OpenFace_cosine_retinaface_align_False_2, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_retinaface_align_False_2, Target: park, Image Count: 2
Model: OpenFace_cosine_retinaface_align_False_2, Target: you, Image Count: 0
Model: OpenFace_cosine_retinaface_align_False_2, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_opencv_align_True_33, Target: deffcon, Image Count: 0
Model: VGG-Face_euclidean_opencv_align_True_33, Target: park, Image Count: 9
Model: VGG-Face_euclidean_opencv_align_True_33, Target: you, Image Count: 12
Model: VGG-Face_euclidean_opencv_align_True_33, Target: tak, Image Count: 12
Model: SFace_cosine_dlib_align_True_63, Target: deffcon, Image Count: 10
Model: SFace_cosine_dlib_align_True_63, Target: park, Image Count: 17
Model: SFace_cosine_dlib_align_True_63, Target: you, Image Count: 17
Model: SFace_cosine_dlib_align_True_63, Target: tak, Image Count: 19
Model: Dlib_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: Dlib_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: Dlib_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: Dlib_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: DeepFace_euclidean_ssd_align_True_13, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_ssd_align_True_13, Target: park, Image Count: 4
Model: DeepFace_euclidean_ssd_align_True_13, Target: you, Image Count: 6
