Model: VGG-Face_cosine_retinaface_align_False, Target: deffcon, Image Count: 1
Model: VGG-Face_cosine_retinaface_align_False, Target: park, Image Count: 13
Model: VGG-Face_cosine_retinaface_align_False, Target: you, Image Count: 19
Model: VGG-Face_cosine_retinaface_align_False, Target: tak, Image Count: 15
Model: DeepFace_cosine_dlib_align_True, Target: deffcon, Image Count: 0
Model: DeepFace_cosine_dlib_align_True, Target: park, Image Count: 0
Model: DeepFace_cosine_dlib_align_True, Target: you, Image Count: 0
Model: DeepFace_cosine_dlib_align_True, Target: tak, Image Count: 0
Model: FaceNet_cosine_mtcnn_align_False, Target: deffcon, Image Count: 0
Model: FaceNet_cosine_mtcnn_align_False, Target: park, Image Count: 0
Model: FaceNet_cosine_mtcnn_align_False, Target: you, Image Count: 0
Model: FaceNet_cosine_mtcnn_align_False, Target: tak, Image Count: 0
Model: OpenFace_euclidean_mtcnn_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_mtcnn_align_False, Target: park, Image Count: 7
Model: OpenFace_euclidean_mtcnn_align_False, Target: you, Image Count: 0
Model: OpenFace_euclidean_mtcnn_align_False, Target: tak, Image Count: 2
Model: OpenFace_cosine_mediapipe_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_mediapipe_align_True, Target: park, Image Count: 0
Model: OpenFace_cosine_mediapipe_align_True, Target: you, Image Count: 0
Model: OpenFace_cosine_mediapipe_align_True, Target: tak, Image Count: 0
Model: OpenFace_euclidean_l2_dlib_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_dlib_align_True, Target: park, Image Count: 4
Model: OpenFace_euclidean_l2_dlib_align_True, Target: you, Image Count: 2
Model: OpenFace_euclidean_l2_dlib_align_True, Target: tak, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_True, Target: deffcon, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_True, Target: park, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_True, Target: you, Image Count: 0
Model: VGG-Face_cosine_mediapipe_align_True, Target: tak, Image Count: 0
Model: VGG-Face_cosine_retinaface_align_True, Target: deffcon, Image Count: 1
Model: VGG-Face_cosine_retinaface_align_True, Target: park, Image Count: 14
Model: VGG-Face_cosine_retinaface_align_True, Target: you, Image Count: 18
Model: VGG-Face_cosine_retinaface_align_True, Target: tak, Image Count: 14
Model: VGG-Face_euclidean_l2_dlib_align_False, Target: deffcon, Image Count: 11
Model: VGG-Face_euclidean_l2_dlib_align_False, Target: park, Image Count: 15
